1	40
41	80
81	120
121	160
161	200
201	240
241	280
281	320
321	360
361	400
401	440
441	480
481	520
521	560
561	600
601	640
641	680
681	720
721	760
761	800
801	840
841	880
881	920
921	960
961	1000
1001	1040
1041	1080
1081	1120
1121	1160
1161	1200
1201	1240
1241	1280
1281	1320
1321	1360
1361	1400
1401	1440
1441	1480
1481	1520
1521	1560
1561	1600
1601	1640
1641	1680
1681	1720
1721	1760
1761	1800
1801	1840
1841	1880
1881	1920
1921	1960
1961	2000
2001	2040
2041	2080
2081	2120
2121	2160
2161	2200
2201	2240
2241	2280
2281	2320
2321	2360
2361	2400
2401	2440
2441	2480
2481	2520
2521	2560
2561	2600
2601	2640
2641	2680
2681	2720
2721	2760
2761	2800
2801	2840
2841	2880
2881	2920
2921	2960
2961	3000
3001	3040
3041	3080
3081	3120
3121	3160
3161	3200
3201	3240
3241	3280
3281	3320
3321	3360
3361	3400
3401	3440
3441	3480
3481	3520
3521	3560
3561	3600
3601	3640
3641	3680
3681	3720
3721	3760
3761	3800
3801	3840
3841	3880
3881	3920
3921	3960
3961	4000
4001	4040
4041	4080
4081	4120
4121	4160
4161	4200
4201	4240
4241	4280
4281	4320
4321	4360
4361	4400
4401	4440
4441	4480
4481	4520
4521	4560
4561	4600
4601	4640
4641	4680
4681	4720
4721	4760
4761	4800
4801	4840
4841	4880
4881	4920
4921	4960
4961	5000
5001	5040
5041	5080
5081	5120
5121	5160
5161	5200
5201	5240
5241	5280
5281	5320
5321	5360
5361	5400
5401	5440
5441	5480
5481	5520
5521	5560
5561	5600
5601	5640
5641	5680
5681	5720
5721	5760
5761	5800
5801	5840
5841	5880
5881	5920
5921	5960
5961	6000
6001	6040
6041	6080
6081	6120
6121	6160
6161	6200
6201	6240
6241	6280
6281	6320
6321	6360
6361	6400
6401	6440
6441	6480
6481	6520
6521	6560
6561	6600
6601	6640
6641	6680
6681	6720
6721	6760
6761	6800
6801	6840
6841	6880
6881	6920
6921	6960
6961	7000
7001	7040
7041	7080
7081	7120
7121	7160
7161	7200
7201	7240
7241	7280
7281	7320
7321	7360
7361	7400
7401	7440
7441	7480
7481	7520
7521	7560
7561	7600
7601	7640
7641	7680
7681	7720
7721	7760
7761	7800
7801	7840
7841	7880
7881	7920
7921	7960
7961	8000
8001	8040
8041	8080
8081	8120
8121	8160
8161	8200
8201	8240
8241	8280
8281	8320
8321	8360
8361	8400
8401	8440
8441	8480
8481	8520
8521	8560
8561	8600
8601	8640
8641	8680
8681	8720
8721	8760
8761	8800
8801	8840
8841	8880
8881	8920
8921	8960
8961	9000
9001	9040
9041	9080
9081	9120
9121	9160
9161	9200
9201	9240
9241	9280
9281	9320
9321	9360
9361	9400
9401	9440
9441	9480
9481	9520
9521	9560
9561	9600
9601	9640
9641	9680
9681	9720
9721	9760
9761	9800
9801	9840
9841	9880
9881	9920
9921	9960
9961	10000
10001	10040
10041	10080
10081	10120
10121	10160
10161	10200
10201	10240
10241	10280
10281	10320
10321	10360
10361	10400
10401	10440
10441	10480
10481	10520
10521	10560
10561	10600
10601	10640
10641	10680
10681	10720
10721	10760
10761	10800
10801	10840
10841	10880
10881	10920
10921	10960
10961	11000
11001	11040
11041	11080
11081	11120
11121	11160
11161	11200
11201	11240
11241	11280
11281	11320
11321	11360
11361	11400
11401	11440
11441	11480
11481	11520
11521	11560
11561	11600
11601	11640
11641	11680
11681	11720
11721	11760
11761	11800
11801	11840
11841	11880
11881	11920
11921	11960
11961	12000
12001	12040
12041	12080
12081	12120
12121	12160
12161	12200
12201	12240
12241	12280
12281	12320
12321	12360
12361	12400
12401	12440
12441	12480
12481	12520
12521	12560
12561	12600
12601	12640
12641	12680
12681	12720
12721	12760
12761	12800
12801	12840
12841	12880
12881	12920
12921	12960
12961	13000
13001	13040
13041	13080
13081	13120
13121	13160
13161	13200
13201	13240
13241	13280
13281	13320
13321	13360
13361	13400
13401	13440
13441	13480
13481	13520
13521	13560
13561	13600
13601	13640
13641	13680
13681	13720
13721	13760
13761	13800
13801	13840
13841	13880
13881	13920
13921	13960
13961	14000
14001	14040
14041	14080
14081	14120
14121	14160
14161	14200
14201	14240
14241	14280
14281	14320
14321	14360
14361	14400
14401	14440
14441	14480
14481	14520
14521	14560
14561	14600
14601	14640
14641	14680
14681	14720
14721	14760
14761	14800
14801	14840
14841	14880
14881	14920
14921	14960
14961	15000
15001	15040
15041	15080
15081	15120
15121	15160
15161	15200
15201	15240
15241	15280
15281	15320
15321	15360
15361	15400
15401	15440
15441	15480
15481	15520
15521	15560
15561	15600
15601	15640
15641	15680
15681	15720
15721	15760
15761	15800
15801	15840
15841	15880
15881	15920
15921	15960
15961	16000
16001	16040
16041	16080
16081	16120
16121	16160
16161	16200
16201	16240
16241	16280
16281	16320
16321	16360
16361	16400
16401	16440
16441	16480
16481	16520
16521	16560
16561	16600
16601	16640
16641	16680
16681	16720
16721	16760
16761	16800
16801	16840
16841	16880
16881	16920
16921	16960
16961	17000
17001	17040
17041	17080
17081	17120
17121	17160
17161	17200
17201	17240
17241	17280
17281	17320
17321	17360
17361	17400
17401	17440
17441	17480
17481	17520
17521	17560
17561	17600
17601	17640
17641	17680
17681	17720
17721	17760
17761	17800
17801	17840
17841	17880
17881	17920
17921	17960
17961	18000
18001	18040
18041	18080
18081	18120
18121	18160
18161	18200
18201	18240
18241	18280
18281	18320
18321	18360
18361	18400
18401	18440
18441	18480
18481	18520
18521	18560
18561	18600
18601	18640
18641	18680
18681	18720
18721	18760
18761	18800
18801	18840
18841	18880
18881	18920
18921	18960
18961	19000
19001	19040
19041	19080
19081	19120
19121	19160
19161	19200
19201	19240
19241	19280
19281	19320
19321	19360
19361	19400
19401	19440
19441	19480
19481	19520
19521	19560
19561	19600
19601	19640
19641	19680
19681	19720
19721	19760
19761	19800
19801	19840
19841	19880
19881	19920
19921	19960
19961	20000
20001	20040
20041	20080
20081	20120
20121	20160
20161	20200
20201	20240
20241	20280
20281	20320
20321	20360
20361	20400
20401	20440
20441	20480
20481	20520
20521	20560
20561	20600
20601	20640
20641	20680
20681	20720
20721	20760
20761	20800
20801	20840
20841	20880
20881	20920
20921	20960
20961	21000
21001	21040
21041	21080
21081	21120
21121	21160
21161	21200
21201	21240
21241	21280
21281	21320
21321	21360
21361	21400
21401	21440
21441	21480
21481	21520
21521	21560
21561	21600
21601	21640
21641	21680
21681	21720
21721	21760
21761	21800
21801	21840
21841	21880
21881	21920
21921	21960
21961	22000
22001	22040
22041	22080
22081	22120
22121	22160
22161	22200
22201	22240
22241	22280
22281	22320
22321	22360
22361	22400
22401	22440
22441	22480
22481	22520
22521	22560
22561	22600
22601	22640
22641	22680
22681	22720
22721	22760
22761	22800
22801	22840
22841	22880
22881	22920
22921	22960
22961	23000
23001	23040
23041	23080
23081	23120
23121	23160
23161	23200
23201	23240
23241	23280
23281	23320
23321	23360
23361	23400
23401	23440
23441	23480
23481	23520
23521	23560
23561	23600
23601	23640
23641	23680
23681	23720
23721	23760
23761	23800
23801	23840
23841	23880
23881	23920
23921	23960
23961	24000
24001	24040
24041	24080
24081	24120
24121	24160
24161	24200
24201	24240
24241	24280
24281	24320
24321	24360
24361	24400
24401	24440
24441	24480
24481	24520
